Title,Rating,Year,Length
Radhe,1.8,2021,135 min
365 Days,3.3,2020,114 min
Fifty Shades of Grey,4.1,2015,125 min
Thunder Force,4.4,2021,106 min
Fifty Shades Darker,4.6,2017,118 min
Fifty Shades Freed,4.5,2018,105 min
Cats,2.8,2019,110 min
Fantastic Four,4.2,2015,100 min
The Last Airbender,4.0,2010,103 min
Norbit,4.1,2007,102 min
Movie 43,4.3,2013,94 min
Mortal Kombat: Annihilation,3.7,1997,95 min
Batman & Robin,3.8,1997,125 min
The Human Centipede (First Sequence),4.4,2009,92 min
The Room,3.7,2003,99 min
Super Mario Bros.,4.1,1993,104 min
Siberia,4.3,2018,104 min
Striptease,4.5,1996,115 min
Street Fighter,4.0,1994,102 min
Basic Instinct 2,4.3,2006,114 min
Grease 2,4.4,1982,115 min
Death Note,4.4,I 2017,101 min
Supergirl,4.4,1984,124 min
Sex and the City 2,4.5,2010,146 min
Piranha 3DD,3.7,2012,83 min
Highlander II: The Quickening,4.2,1991,91 min
The Turning,3.8,2020,94 min
Escape Plan: The Extractors,4.4,2019,97 min
Snatched,4.5,2017,90 min
Holmes & Watson,3.8,2018,90 min
The Last Thing He Wanted,4.3,2020,115 min
Dragonball Evolution,2.5,2009,85 min
Artemis Fowl,4.2,2020,95 min
Race 3,1.9,2018,160 min
Skyline,4.4,2010,92 min
Disaster Movie,1.9,2008,87 min
The Grudge,4.3,2020,94 min
Superhero Movie,4.6,2008,75 min
Gigli,2.5,2003,121 min
Slender Man,3.2,2018,93 min
The Emoji Movie,3.3,2017,86 min
LOL,4.4,2012,97 min
The Human Centipede III (Final Sequence),2.7,2015,102 min
Aliens vs. Predator: Requiem,4.6,2007,94 min
Jaws: The Revenge,3.0,1987,89 min
Jaws 3-D,3.7,1983,99 min
Scary Movie V,3.5,2013,86 min
Escape Plan 2: Hades,3.9,2018,96 min
The Starving Games,3.2,2013,83 min
The Cat in the Hat,4.0,2003,82 min
The Adventures of Sharkboy and Lavagirl 3-D,3.7,2005,93 min
Jeepers Creepers III,3.9,2017,100 min
Speed 2: Cruise Control,3.9,1997,121 min
Battlefield Earth,2.5,2000,118 min
Yoga Hosers,4.3,2016,88 min
The Last Days of American Crime,3.7,2020,148 min
A Wrinkle in Time,4.2,2018,109 min
The Human Centipede II (Full Sequence),3.8,2011,91 min
The Canyons,3.8,2013,99 min
Epic Movie,2.4,2007,86 min
Exposed,4.3,III 2016,102 min
Son of the Mask,2.2,2005,94 min
The Hungover Games,3.6,2014,85 min
The Island of Dr. Moreau,4.5,1996,96 min
Zoom,4.4,2006,83 min
The Next Karate Kid,4.5,1994,107 min
Jason X,4.4,2001,92 min
xXx: State of the Union,4.5,2005,101 min
BloodRayne,2.9,2005,95 min
Ghost Rider: Spirit of Vengeance,4.3,2011,96 min
Teen Wolf Too,3.4,1987,95 min
Captain America,3.2,1990,97 min
Catwoman,3.4,2004,104 min
The Bye Bye Man,4.2,2017,96 min
Texas Chainsaw Massacre: The Next Generation,3.3,1994,87 min
Spy Kids 4-D: All the Time in the World,3.5,2011,89 min
Species II,4.4,1998,93 min
The Flintstones in Viva Rock Vegas,3.7,2000,90 min
Taxi,4.5,I 2004,97 min
Home Alone 3,4.5,1997,102 min
Mac and Me,3.4,1988,99 min
Highlander: The Final Dimension,4.5,1994,99 min
Swept Away,3.6,2002,89 min
Secret Obsession,4.4,2019,97 min
Barb Wire,3.3,1996,98 min
Left Behind,3.1,I 2014,110 min
The Avengers,3.8,1998,89 min
Spy Kids 3-D: Game Over,4.3,2003,84 min
Shark Night,4.0,2011,90 min
Ouija,4.5,II 2014,89 min
Fifty Shades of Black,3.5,2016,92 min
Crossroads,3.5,I 2002,93 min
Jack and Jill,3.3,I 2011,91 min
Superman IV: The Quest for Peace,3.7,1987,90 min
Freddy Got Fingered,4.6,2001,87 min
Inspector Gadget,4.2,1999,78 min
Little Man,4.4,III 2006,98 min
Cell,4.4,I 2016,98 min
